ICAO, latitude, longitude, altitude, yaw, pitch, roll, groundspeed, timestamp
11259137, 37.09748620, -6.73819652, 119.97615814, -0.11997938, 0.15623732, 0.65235627, 6.25494432, 168710
11259137, 37.09742929, -6.73818564, 119.98305511, -0.11927577, 0.14988488, 0.65941107, 6.52764702, 169714
11259137, 37.09737115, -6.73817464, 119.98272705, -0.11577934, 0.14406797, 0.67636341, 6.75293779, 170712
11259137, 37.09731048, -6.73816345, 119.98239136, -0.11134045, 0.13959107, 0.67203188, 6.96859932, 171750
11259137, 37.09725282, -6.73815292, 119.99611664, -0.11287583, 0.13928977, 0.68050504, 7.14105129, 172724
11259137, 37.09719221, -6.73814194, 119.99157715, -0.11237380, 0.13743971, 0.68346238, 7.26556063, 173734
11259137, 37.09713477, -6.73813111, 119.96717072, -0.06725923, 0.11912611, 0.52002650, 5.80308342, 174772
11259137, 37.09709213, -6.73812215, 119.96737671, -0.05870027, 0.09656471, 0.56299144, 5.42869997, 175778
11259137, 37.09704997, -6.73811448, 119.94918060, -0.05773186, 0.09299681, 0.58776903, 5.66425085, 176780
11259137, 37.09700346, -6.73810687, 119.96954346, -0.06264408, 0.10189684, 0.57855612, 5.75671625, 177822
11259137, 37.09695746, -6.73809919, 119.98812866, -0.06678874, 0.10720727, 0.57353407, 5.62104797, 178828
11259137, 37.09691212, -6.73809108, 119.98872375, -0.06478015, 0.10472398, 0.54668778, 5.42387676, 179826
11259137, 37.09686768, -6.73808298, 119.97103882, -0.06487547, 0.10617444, 0.55134660, 5.36129999, 180828
11259137, 37.09682372, -6.73807499, 119.98339081, -0.07088690, 0.11072354, 0.58498567, 5.36171436, 181844
11259137, 37.09677968, -6.73806694, 119.97484589, -0.07840884, 0.11530726, 0.60387838, 5.63644838, 182854
11259137, 37.09673310, -6.73805843, 119.94846344, -0.06981229, 0.10869186, 0.55372047, 5.47264862, 183842
11259137, 37.09668541, -6.73804942, 119.97472382, -0.06402764, 0.10560470, 0.54106981, 5.21612453, 184882
11259137, 37.09664335, -6.73804138, 119.98921204, -0.06351123, 0.10091975, 0.54996347, 5.22288609, 185854
11259137, 37.09659685, -6.73803283, 119.98737335, -0.06479305, 0.10194223, 0.57449269, 5.29952621, 186902
11259137, 37.09655116, -6.73802460, 119.99337006, -0.06185144, 0.10231657, 0.55787611, 5.14930820, 187912
11259137, 37.09650615, -6.73801645, 119.98958588, -0.06226796, 0.10218518, 0.54469144, 5.21427679, 188922
11259137, 37.09646275, -6.73800858, 120.00228119, -0.06138463, 0.10237551, 0.53731960, 5.14972782, 189894
11259137, 37.09641891, -6.73800049, 119.98898315, -0.06764877, 0.10847174, 0.57612062, 5.17166042, 190902
11259137, 37.09637398, -6.73799217, 120.00548553, -0.07107875, 0.10931221, 0.58292150, 5.28201151, 191910
11259137, 37.09632820, -6.73798367, 120.00615692, -0.06539408, 0.10417649, 0.54618627, 5.24771786, 192924
11259137, 37.09628222, -6.73797505, 119.99360657, -0.06334825, 0.10289042, 0.55262697, 5.12330294, 193938
11259137, 37.09623704, -6.73796657, 119.99286652, -0.06167286, 0.10053266, 0.55263096, 5.12535429, 194942
11259137, 37.09619131, -6.73795807, 119.99645233, -0.05631768, 0.09681222, 0.53173751, 4.95556021, 195944
11259137, 37.09614752, -6.73794992, 119.99558258, -0.05613961, 0.09701539, 0.54057980, 4.91642952, 196950
11259137, 37.09610494, -6.73794211, 119.97982788, -0.06119417, 0.10132287, 0.57220036, 4.99901152, 197930
11259137, 37.09605920, -6.73793394, 119.99426270, -0.06384310, 0.10644027, 0.54825985, 5.07887411, 198950
11259137, 37.09601627, -6.73792600, 120.00000763, -0.07031920, 0.10782859, 0.57672220, 5.17739916, 199928
11259137, 37.09597044, -6.73791753, 119.99085236, -0.06857391, 0.10767161, 0.55683428, 5.11963272, 200942
11259137, 37.09592306, -6.73790864, 119.97503662, -0.06286263, 0.10387492, 0.54548651, 4.96392488, 201984
11259137, 37.09587964, -6.73790051, 119.96963501, -0.06035531, 0.09978125, 0.54419416, 4.90168810, 202958
11259137, 37.09583432, -6.73789229, 119.96858215, -0.06088555, 0.10072796, 0.54895306, 5.01836491, 203964
11259137, 37.09578914, -6.73788409, 119.98206329, -0.05890526, 0.10138769, 0.53976560, 4.94861317, 204980
11259137, 37.09574613, -6.73787635, 120.00260925, -0.05786082, 0.09975202, 0.54051667, 4.90646362, 205958
11259137, 37.09570336, -6.73786886, 120.01015472, -0.06704939, 0.10990877, 0.57653636, 5.11236000, 206958
11259137, 37.09565934, -6.73786116, 119.99015045, -0.07224101, 0.11572769, 0.57479382, 5.27139568, 207958
11259137, 37.09561203, -6.73785272, 120.00363159, -0.07407618, 0.11838899, 0.56407434, 5.24952888, 208982
11259137, 37.09556700, -6.73784434, 119.98194122, -0.06761757, 0.11259533, 0.53798944, 5.06321239, 209968
11259137, 37.09552310, -6.73783608, 119.99057770, -0.06575368, 0.11056826, 0.53260309, 5.02333450, 210960
11259137, 37.09547730, -6.73782757, 120.00325775, -0.07160047, 0.11623896, 0.55941439, 5.13718700, 212020
11259137, 37.09543302, -6.73781941, 120.00740814, -0.07366954, 0.11692210, 0.56308353, 5.19636011, 212915
11259137, 37.09538814, -6.73781108, 120.00878906, -0.06966014, 0.11480720, 0.53916621, 5.10490036, 213866
11259137, 37.09534237, -6.73780242, 119.97460938, -0.06731301, 0.11100674, 0.54125148, 5.07572794, 215012
11259137, 37.09529831, -6.73779417, 119.99663544, -0.06897657, 0.11295112, 0.54987764, 5.10649920, 216016
11259137, 37.09525354, -6.73778594, 120.00859833, -0.06996574, 0.11532683, 0.54586661, 5.10351849, 217034
11259137, 37.09520761, -6.73777743, 120.00455475, -0.07245266, 0.11843024, 0.54886287, 5.12896395, 218046
11259137, 37.09516193, -6.73776874, 119.89028168, -0.05289090, 0.05685995, 0.51360047, 4.90376472, 219078
11259137, 37.09513280, -6.73777042, 118.84047699, 3.02478695, -2.82121587, 2.73224449, 1.64405835, 220142
11259137, 37.09514344, -6.73778625, 118.65095520, 3.02924156, -2.95167875, 2.60629559, 2.47860646, 221124
11259137, 37.09517346, -6.73780580, 117.54053497, 2.96207523, -2.66309977, 2.73545980, 3.55516052, 222164
11259137, 37.09520082, -6.73784285, 115.71717834, 2.94605470, -2.58543348, 2.79275656, 4.45248032, 223160
11259137, 37.09522528, -6.73789172, 113.56909180, 2.88358331, -2.64006639, 2.66639376, 4.94093418, 224164
11259137, 37.09525341, -6.73794039, 111.21430206, 2.86638546, -2.62595534, 2.64217472, 5.29833889, 225166
11259137, 37.09528369, -6.73799015, 108.78524017, 2.84169507, -2.58831143, 2.62254310, 5.71825218, 226158
11259137, 37.09531606, -6.73804530, 106.12767792, 2.82432580, -2.58290148, 2.60101843, 6.14016533, 227198
11259137, 37.09534804, -6.73809990, 103.44326019, 2.81629539, -2.58422351, 2.58634830, 6.39617968, 228208
11259137, 37.09538160, -6.73815673, 100.62146759, 2.81406093, -2.58456802, 2.58275175, 6.58777285, 229244
