ICAO, latitude, longitude, altitude, yaw, pitch, roll, groundspeed, timestamp
11259137, 37.09768321, -6.73780693, 119.94929504, -0.11239455, 0.48264819, 0.22717535, 5.21501637, 165156
11259137, 37.09766830, -6.73775328, 119.99414825, -0.11898758, 0.51174986, 0.24633735, 4.86495972, 166162
11259137, 37.09765420, -6.73770196, 119.98478699, -0.13500211, 0.53817135, 0.26775497, 5.00327301, 167176
11259137, 37.09763999, -6.73765081, 119.98447418, -0.13648713, 0.52198946, 0.26475880, 5.20362473, 168162
11259137, 37.09762508, -6.73759728, 119.99288177, -0.14545518, 0.54250497, 0.28299844, 5.20413828, 169172
11259137, 37.09761067, -6.73754589, 119.98367310, -0.15122142, 0.54313880, 0.28705370, 5.32849073, 170166
11259137, 37.09759559, -6.73749144, 119.97855377, -0.15899575, 0.54112524, 0.29611212, 5.47977591, 171190
11259137, 37.09757918, -6.73743373, 119.99452972, -0.15695135, 0.54711610, 0.29613426, 5.36584044, 172246
11259137, 37.09756390, -6.73738028, 119.99327087, -0.14863792, 0.53867221, 0.28616703, 5.26115417, 173242
11259137, 37.09754846, -6.73732572, 119.97869873, -0.13598303, 0.50951135, 0.26803616, 5.17566729, 174256
11259137, 37.09753332, -6.73727238, 119.98046112, -0.14234699, 0.53776002, 0.28109103, 5.10308075, 175268
11259137, 37.09751876, -6.73722012, 119.99575806, -0.15136553, 0.54062927, 0.28853267, 5.27027130, 176286
11259137, 37.09750277, -6.73716314, 119.98340607, -0.15494464, 0.54536760, 0.29206866, 5.33659267, 177348
11259137, 37.09748750, -6.73710894, 119.96932983, -0.14973734, 0.53748393, 0.28873348, 5.25939703, 178340
11259137, 37.09747202, -6.73705468, 119.95800018, -0.13350451, 0.51381040, 0.26746187, 5.10039186, 179356
11259137, 37.09745727, -6.73700210, 119.99794769, -0.14751664, 0.54636502, 0.28222087, 5.19122458, 180376
11259137, 37.09744279, -6.73694954, 119.98390198, -0.13910025, 0.51439416, 0.26981780, 5.23683834, 181358
11259137, 37.09742768, -6.73689478, 119.97508240, -0.14410652, 0.53159285, 0.27925313, 5.19376040, 182380
11259137, 37.09741235, -6.73683957, 119.98304749, -0.14169315, 0.52856350, 0.27926973, 5.12329149, 183414
11259137, 37.09739786, -6.73678785, 119.97662354, -0.14252679, 0.53225982, 0.27953762, 5.12472439, 184396
11259137, 37.09738294, -6.73673396, 119.99159241, -0.14372645, 0.52833271, 0.27731648, 5.23052406, 185416
11259137, 37.09736778, -6.73667919, 119.96504211, -0.14418273, 0.53039163, 0.28109726, 5.15772772, 186436
11259137, 37.09735258, -6.73662458, 119.98719025, -0.13842224, 0.51519209, 0.27251378, 5.13861084, 187464
11259137, 37.09733725, -6.73656963, 120.00956726, -0.13783707, 0.51997125, 0.27277318, 5.11391973, 188484
11259137, 37.09732153, -6.73651931, 120.00334930, -0.08841868, 0.06348077, 0.45581567, 4.11793518, 189504
11259137, 37.09729578, -6.73650432, 119.99791718, 0.12638004, -0.54195458, 0.30073372, 3.25281501, 190486
11259137, 37.09727045, -6.73653081, 119.92122650, 0.20411049, -0.42370453, 0.40443793, 3.52197552, 191516
11259137, 37.09724048, -6.73656829, 119.95477295, 0.25522077, -0.30109492, 0.61456233, 4.52694416, 192542
11259137, 37.09719889, -6.73659769, 119.97599792, 0.21011733, -0.25107300, 0.62217534, 5.47246695, 193538
11259137, 37.09714917, -6.73662359, 119.98774719, 0.22439773, -0.31433889, 0.61737955, 5.81700993, 194528
11259137, 37.09709429, -6.73665357, 119.99362183, 0.25989255, -0.35532558, 0.63011456, 6.04417181, 195576
11259137, 37.09704286, -6.73668414, 119.99029541, 0.26450467, -0.34638247, 0.64491653, 6.32437420, 196562
11259137, 37.09698848, -6.73671553, 119.98060608, 0.23383498, -0.32622874, 0.57681817, 6.44471693, 197584
11259137, 37.09694211, -6.73674258, 119.98317719, 0.14102516, -0.25744635, 0.48452279, 5.16346788, 198592
11259137, 37.09690200, -6.73676583, 119.99495697, 0.14364132, -0.26674271, 0.51921272, 5.00984669, 199600
11259137, 37.09686259, -6.73678804, 119.97625732, 0.15853235, -0.28380728, 0.54125589, 5.21583366, 200604
11259137, 37.09682179, -6.73681067, 119.99605560, 0.16934730, -0.29282609, 0.53291982, 5.45302820, 201616
11259137, 37.09678191, -6.73683306, 120.00358582, 0.16791126, -0.29132655, 0.51966363, 5.43102169, 202618
11259137, 37.09673923, -6.73685755, 119.99105072, 0.17029402, -0.29806337, 0.52003658, 5.39352560, 203624
11259137, 37.09669734, -6.73688220, 119.99887085, 0.17245974, -0.29721284, 0.52897316, 5.36504555, 204660
11259137, 37.09665715, -6.73690530, 120.00279236, 0.18537997, -0.31435025, 0.54222906, 5.44466019, 205656
11259137, 37.09661373, -6.73693064, 120.01350403, 0.20085052, -0.32386440, 0.55760068, 5.59343624, 206812
11259137, 37.09657223, -6.73695509, 119.99642944, 0.17472570, -0.29916251, 0.51636410, 5.37350988, 207784
11259137, 37.09653047, -6.73697977, 119.99076080, 0.16825220, -0.29433960, 0.52042949, 5.17063665, 208788
11259137, 37.09648928, -6.73700395, 120.00263214, 0.17470866, -0.30096489, 0.54414213, 5.13690996, 209796
11259137, 37.09644773, -6.73702799, 119.98107910, 0.16500799, -0.29123473, 0.52450204, 5.12717247, 210810
11259137, 37.09640677, -6.73705152, 119.97871399, 0.16071849, -0.28601769, 0.51718819, 5.08375216, 211813
11259137, 37.09636661, -6.73707442, 119.96067810, 0.17363851, -0.29537758, 0.54469305, 5.14180994, 212826
11259137, 37.09632454, -6.73709813, 119.99488068, 0.18222891, -0.30715495, 0.54901969, 5.22988081, 213834
11259137, 37.09628218, -6.73712226, 120.00640869, 0.17088059, -0.29745463, 0.52441752, 5.10687637, 214852
11259137, 37.09624033, -6.73714642, 119.99974823, 0.16115931, -0.28731501, 0.51431918, 5.00127363, 215857
11259137, 37.09619901, -6.73717029, 119.99044800, 0.16533482, -0.29212958, 0.53401846, 4.98562098, 216858
11259137, 37.09615758, -6.73719399, 119.98799133, 0.15873171, -0.28381175, 0.51985455, 5.00636005, 217879
11259137, 37.09611524, -6.73721794, 119.98294067, 0.15467256, -0.27933708, 0.51067185, 4.98886633, 218902
11259137, 37.09607524, -6.73724039, 120.01934814, 0.16266119, -0.28899479, 0.52898920, 4.95922184, 219806
11259137, 37.09603610, -6.73726240, 120.00639343, 0.17836356, -0.30223632, 0.55762869, 5.07262945, 220788
11259137, 37.09599343, -6.73728646, 120.02088928, 0.17329836, -0.29784214, 0.52981168, 5.14358234, 221806
11259137, 37.09595306, -6.73730965, 120.02619171, 0.16908458, -0.29582688, 0.53226572, 5.00162077, 222790
11259137, 37.09591105, -6.73733385, 120.00008392, 0.16873819, -0.29406512, 0.52551717, 5.04037094, 223814
11259137, 37.09587058, -6.73735715, 119.99565125, 0.17244428, -0.29695535, 0.53261572, 5.07585049, 224800
11259137, 37.09582859, -6.73738143, 120.00615692, 0.16255192, -0.28799435, 0.51815790, 4.97341585, 225810
11259137, 37.09578897, -6.73740442, 120.00643158, 0.17067230, -0.29592890, 0.54541361, 5.00789928, 226810
11259137, 37.09574867, -6.73742746, 120.00601196, 0.18010509, -0.29765898, 0.55573750, 5.19282103, 227834
11259137, 37.09570611, -6.73745141, 119.99523926, 0.18402360, -0.30719534, 0.54639506, 5.32448435, 228850
11259137, 37.09566329, -6.73747606, 119.98785400, 0.16477874, -0.28909037, 0.51073241, 5.14630461, 229848
11259137, 37.09562102, -6.73750087, 120.00452423, 0.15845802, -0.28225559, 0.51212692, 5.02971411, 230882
11259137, 37.09557937, -6.73752502, 120.00161743, 0.15986682, -0.28213379, 0.51780736, 5.05186701, 231910
11259137, 37.09554058, -6.73754734, 120.00280762, 0.16302061, -0.28539783, 0.53075755, 5.11419582, 232886
11259137, 37.09549986, -6.73757029, 120.00344849, 0.18303709, -0.30193922, 0.56501538, 5.29738951, 233914
11259137, 37.09545668, -6.73759454, 119.99449158, 0.17664206, -0.29669434, 0.54234684, 5.26723957, 234936
11259137, 37.09541393, -6.73761900, 119.98391724, 0.17345880, -0.29419443, 0.53930646, 5.19525957, 235966
11259137, 37.09537264, -6.73764285, 119.97704315, 0.17134053, -0.29383990, 0.54466701, 5.13686657, 236970
11259137, 37.09533007, -6.73766714, 119.98695374, 0.16669501, -0.28507140, 0.52900684, 5.18585682, 238008
11259137, 37.09528870, -6.73769064, 119.98944092, 0.16331290, -0.28515843, 0.52672929, 5.13895655, 239010
11259137, 37.09524770, -6.73771393, 119.95233917, 0.16219217, -0.28397980, 0.52211738, 5.12257099, 240016
11259137, 37.09520805, -6.73773648, 119.96831512, 0.16385126, -0.28588274, 0.52338248, 5.11751366, 240988
11259137, 37.09516689, -6.73776006, 119.95336151, 0.17148922, -0.31414643, 0.52606767, 5.03274775, 241988
11259137, 37.09513962, -6.73778812, 118.76631927, 2.98926449, -2.75350952, 2.77844191, 3.54963231, 243010
